Country,CIT_rate_2020,METR_Overall
Costa Rica,0.26,0.4483
Dominican Republic,0.25,0.2905
El Salvador,0.3,1
Guatemala,0.3,0.32
Honduras,0.25,0.3595
Nicaragua,0.3,1
Panama,0.27,0.2763
