Country,CIT_rate_2019,CIT_rate_2020_OLD,CIT_rate_2020,inflation,tax_depreciation_building,tax_depreciation_equipment,inventory_accounting,inv_acc_flag,asset_tax,capital_input_sale_tax,capital_transfer_tax,land_transfer_tax,financial_transfer_tax_flag,dividend_payout_ratio,dividend_distribution_tax,domestic_tax_rate_dividend,international_interest_rate,debt_asset_ratio,domestic_pit_interest,domestic_pit_capital_gain,economic_depreciation_equipment,economic_depreciation_building,investment_allowance_equipment,investment_allowance_building,property_tax,mining_royalty,capital_weight_equipment,capital_weight_building,capital_weight_equipment_old,capital_weight_building_old,capital_weight_land,capital_weight_inventory,t_rho,r_d,rho_n,r_f,r_n,Z_E,r_g_E,METR_E,Z_B,r_g_B,METR_B,r_g_L,METR_L,p_FIFO,r_g_I,METR_I,METR_Overall
Peru,0.3,0.3,0.295,0.03,0.05,0.2,Optional,0,0.0,0.0,0.03,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.04,0.04,0.035280000000000006,0.010000000000000002,0.9022948429778497,0.014081446851205548,0.2898457022444482,0.5863039399624765,0.021773621811504523,0.5407286814030955,0.0074893617021276684,-0.33522727272727143,0.5,0.013765957446808516,0.2735703245749615,0.38016357474156126
Philippines,0.3,0.3,0.3,0.03,0.07,0.24,Optional,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.04,0.04,0.0352,0.010000000000000002,0.9152538857335552,0.01301601305291672,0.23171558300188308,0.6653992395437262,0.018851711026615994,0.4695441710367089,0.007428571428571434,-0.3461538461538455,0.5,0.013857142857142863,0.2783505154639177,0.3173338746944204
Poland,0.19,0.19,0.19,0.01,0.03,0.26,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01848,0.01,0.9567845494885225,0.01069472248058273,0.06495937429363535,0.6188118811881188,0.017285539665077607,0.42148175910276947,0.010469135802469135,0.04481132075471693,0.0,0.010469135802469135,0.04481132075471693,0.19330743282492363
Portugal,0.32,0.29,0.21,0.01,0.02,0.2,Optional,0,0.0,0.0,0.01,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01832,0.01,0.9473060307119942,0.011378064492077289,0.12111589743904641,0.5219206680584552,0.02081493618033349,0.5195757549596396,0.010531645569620251,0.05048076923076904,0.5,0.011860759493670886,0.15688367129135533,0.26456144614645993
Qatar,0.1,0.1,0.1,0.02,0.05,0.19,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.0288,0.009999999999999998,0.9157439912697709,0.010848357190019364,0.07820144333004318,0.6345177664974619,0.012812182741116743,0.21949286846275712,0.009777777777777776,-0.022727272727272773,0.5,0.010888888888888889,0.08163265306122464,0.12906635637782018
Romania,0.16,0.16,0.16,0.01,0.03,0.25,LIFO,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01872,0.01,0.9548964624698442,0.01059905632925634,0.05651977974706841,0.6157635467980296,0.015945109078114028,0.3728484420513735,0.010380952380952381,0.036697247706422034,0.0,0.010380952380952381,0.036697247706422034,0.17039809817661825
Russia,0.2,0.2,0.2,0.08,0.03,0.21,Optional,0,0.01,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.09,0.09,0.0828,0.009999999999999995,0.7997370503189922,0.013453988923029597,0.25672601209870965,0.26595744680851063,0.019829787234042537,0.4957081545064376,0.003499999999999996,-1.8571428571428588,0.5,0.013499999999999996,0.2592592592592594,0.3427595833654917
Rwanda,0.3,0.3,0.3,0.04,0.04,0.2,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.05,0.05,0.044,0.010000000000000002,0.8804473987381651,0.014964681430014032,0.331759914384584,0.4761904761904763,0.02510204081632654,0.6016260162601627,0.00571428571428571,-0.7500000000000017,0.5,0.014285714285714282,0.29999999999999966,0.4289117110597923
Saudi Arabia,0.2,0.2,0.2,0.02,0.05,0.24,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.0276,0.009999999999999998,0.9325537089074325,0.011269078235435631,0.11261597523078813,0.6443298969072165,0.016278350515463905,0.3856871437618742,0.009499999999999998,-0.05263157894736848,0.5,0.011999999999999999,0.16666666666666669,0.21092159590197912
Serbia,0.15,0.1,0.15,0.02,0.03,0.15,Optional,0,0.0,0.0,0.03,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.0282,0.009999999999999998,0.9001406030693268,0.012045174190048191,0.16979199783909563,0.5154639175257731,0.01659672528805338,0.3974714995615323,0.009647058823529411,-0.03658536585365842,0.5,0.011411764705882352,0.12371134020618564,0.25175661845917285
Sierra Leone,0.3,0.35,0.3,0.1,0.11,0.37,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.11,0.11,0.0968,0.010000000000000009,0.8446628635550675,0.01056730849291948,0.05368524003057079,0.5319148936170213,0.014212765957446818,0.2964071856287424,-0.004571428571428584,-3.187499999999996,0.5,0.016857142857142845,0.4067796610169482,0.14106514044591256
Singapore,0.17,0.17,0.17,0.0,0.03,0.25,FIFO,1,0.0,0.0,0.04,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.01,0.01,0.00932,0.01,0.9771273325450399,0.010347462268021329,0.033579467024987916,0.762970498474059,0.01414180833200554,0.2928768538484472,0.011228915662650604,0.10944206008583698,0.5,0.011228915662650604,0.10944206008583698,0.12692652628143325
Slovak Republic,0.22,0.21,0.21,0.01,0.05,0.17,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01832,0.01,0.9398730618853423,0.011809432603962416,0.15321926672034164,0.7318501170960187,0.015328283876322887,0.34761124724166403,0.010531645569620251,0.05048076923076904,0.5,0.011860759493670886,0.15688367129135533,0.2232003797080177
