Country,CIT_rate_2019,CIT_rate_2020,inflation,tax_depreciation_building,tax_depreciation_equipment,inventory_accounting,inv_acc_flag,asset_tax,capital_input_sale_tax,capital_transfer_tax,financial_transfer_tax_flag,dividend_payout_ratio,dividend_distribution_tax,domestic_tax_rate_dividend,international_interest_rate,debt_asset_ratio,domestic_pit_interest,domestic_pit_capital_gain,economic_depreciation_equipment,economic_depreciation_building,investment_allowance_equipment,investment_allowance_building,property_tax,mining_royalty,capital_weight_equipment,capital_weight_building,capital_weight_land,capital_weight_inventory
Morocco,0.31,0.30,0.01,0.08,0.33,Optional,0,0.00,0.00,0.04,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Nigeria,0.32,0.32,0.12,0.10,0.25,FIFO,1,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Pakistan,0.25,0.35,0.05,0.10,0.25,Optional,0,0.02,0.00,0.03,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Panama,0.25,2.75,0.01,0.07,0.24,LIFO,0,0.00,0.00,0.02,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Paraguay,0.10,0.10,0.04,0.03,0.16,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Peru,0.30,0.30,0.03,0.05,0.20,Optional,0,0.00,0.00,0.03,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Philippines,0.30,0.30,0.03,0.07,0.24,Optional,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Qatar,0.10,0.10,0.02,0.05,0.19,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Romania,0.16,0.16,0.01,0.03,0.25,LIFO,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Rwanda,0.30,0.30,0.04,0.04,0.20,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Saudi Arabia,0.20,0.20,0.02,0.05,0.24,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Serbia,0.15,0.10,0.02,0.03,0.15,Optional,0,0.00,0.00,0.03,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Sierra Leone,0.30,0.35,0.10,0.11,0.37,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Singapore,0.17,0.17,0.00,0.03,0.25,FIFO,1,0.00,0.00,0.04,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
South Africa,0.28,0.28,0.05,0.05,0.25,Optional,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Tanzania,0.30,0.30,0.05,0.05,0.25,Optional,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Thailand,0.20,0.30,0.01,0.05,0.21,Optional,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Trinidad and Tobago,0.30,0.25,0.03,0.10,0.25,Optional,0,0.00,0.00,0.07,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Tunisia,0.26,0.30,0.05,0.05,0.20,Optional,0,0.00,0.00,0.05,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Uganda,0.30,0.30,0.05,0.05,0.30,Optional,0,0.00,0.00,0.02,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Ukraine,0.18,0.25,0.22,0.08,0.37,Optional,0,0.00,0.00,0.01,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Uruguay,0.25,0.25,0.08,0.03,0.10,LIFO,0,0.00,0.00,0.04,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Uzbekistan,0.12,0.16,0.10,0.05,0.19,Optional,0,0.05,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Venezuela,0.35,0.34,6.09,0.07,0.24,LIFO,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Vietnam,0.20,0.25,0.03,0.03,0.25,Optional,0,0.00,0.00,0.01,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Zambia,0.35,0.35,0.10,0.05,0.47,Optional,0,0.00,0.00,0.05,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
